scaffold	markerid	gene	Superkingdom	Phylum	Class	Order	Family	Genus	Species
contig-100_44217	NA	NA	Eukaryota	Arthropoda	Insecta	Hymenoptera	Orussidae	Orussus	Orussus abietinus
contig-100_4426	NA	NA	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Streptosporangium	Streptosporangium roseum
contig-100_44276	NA	NA	Eukaryota	Arthropoda	Insecta	Hymenoptera	Tenthredinidae	Athalia	Athalia rosae
contig-100_443	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans
contig-100_44303	NA	NA	Eukaryota	Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sarcophilus	Sarcophilus harrisii
contig-100_44322	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	Halorhodospira halochloris
contig-100_4436	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa
contig-100_44377	NA	NA	Eukaryota	Platyhelminthes	Cestoda	Diphyllobothriidea	Diphyllobothriidae	Spirometra	Spirometra erinaceieuropaei
contig-100_444	NA	NA	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium zucineum
contig-100_44413	NA	NA	Eukaryota	Porifera	Calcarea	Leucosolenida	Sycettidae	Sycon	Sycon ciliatum
contig-100_44500	NA	NA	Bacteria	(unassigned)	(unassigned)	(unassigned)	(unassigned)	(unassigned)	uncultured bacterium
contig-100_44513	NA	NA	Eukaryota	Arthropoda	Insecta	Hymenoptera	Braconidae	Microplitis	Microplitis demolitor
contig-100_44525	NA	NA	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Danio	Danio rerio
contig-100_4454	NA	NA	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfotomaculum	Desulfotomaculum kuznetsovii
contig-100_4460	NA	NA	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus
contig-100_4465	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium purpuratum
contig-100_4466	NA	NA	Eukaryota	Annelida	(unassigned)	Haplotaxida	Enchytraeidae	(unassigned)	Enchytraeidae sp. 892
contig-100_4468	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	(unassigned)	(unassigned)	(unassigned)	endosymbiont of unidentified scaly snail isolate Monju
contig-100_4476	NA	NA	Bacteria	Cyanobacteria	(unassigned)	Chroococcales	(unassigned)	Cyanobacterium	Cyanobacterium aponinum
contig-100_4478	NA	NA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum magneticum
contig-100_448	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfosarcina	Desulfosarcina cetonica
contig-100_4480	NA	NA	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family III. Incertae Sedis	Thermosediminibacter	Thermosediminibacter oceani
contig-100_4481	NA	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	Spirochaeta africana
contig-100_4484	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_449	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans
contig-100_4490	NA	NA	Eukaryota	Hemichordata	Enteropneusta	(unassigned)	Harrimaniidae	Saccoglossus	Saccoglossus kowalevskii
contig-100_44910	NA	NA	Eukaryota	Chordata	Actinopteri	Esociformes	Esocidae	Esox	Esox lucius
contig-100_44915	NA	NA	Eukaryota	Mollusca	Bivalvia	Ostreoida	Ostreidae	Crassostrea	Crassostrea gigas
contig-100_45	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
contig-100_450	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	Sulfuritalea hydrogenivorans
contig-100_4500	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas sp. JS666
contig-100_4507	NA	NA	Bacteria	(unassigned)	(unassigned)	(unassigned)	(unassigned)	(unassigned)	uncultured bacterium contig10083(2014)
contig-100_45077	NA	NA	Eukaryota	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias latipes
contig-100_451	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas chlororaphis
contig-100_4519	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_45219	NA	NA	Bacteria	(unassigned)	(unassigned)	(unassigned)	(unassigned)	(unassigned)	uncultured bacterium
contig-100_4525	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium purpuratum
contig-100_45288	NA	NA	Eukaryota	Chordata	Actinopteri	Characiformes	Characidae	Astyanax	Astyanax mexicanus
contig-100_45302	NA	NA	Eukaryota	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila virilis
contig-100_45312	NA	NA	Eukaryota	Chordata	Actinopteri	Characiformes	Characidae	Astyanax	Astyanax mexicanus
contig-100_454	NA	NA	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	Cellulomonas flavigena
contig-100_45425	NA	NA	Eukaryota	Nematoda	Chromadorea	Spirurida	Onchocercidae	Brugia	Brugia malayi
contig-100_45446	NA	NA	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos
contig-100_4547	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas naphthalenivorans
contig-100_45485	NA	NA	Eukaryota	Annelida	Polychaeta	Phyllodocida	Nereididae	Platynereis	Platynereis dumerilii
contig-100_4550	NA	NA	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Danio	Danio rerio
contig-100_4551	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatibacillum	Desulfatibacillum alkenivorans
contig-100_4555	NA	NA	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis dassonvillei
contig-100_45557	NA	NA	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Syntrophobotulus	Syntrophobotulus glycolicus
contig-100_4560	NA	NA	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium marinum
contig-100_45608	NA	NA	Eukaryota	Chordata	Mammalia	Rodentia	Octodontidae	Octodon	Octodon degus
contig-100_45620	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	Halorhodospira halophila
contig-100_4566	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia xenovorans
contig-100_4568	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Halorhodospira	Halorhodospira halochloris
contig-100_457	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_4570	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	(unassigned)	(unassigned)	(unassigned)	uncultured delta proteobacterium
contig-100_45730	NA	NA	Eukaryota	Platyhelminthes	Trematoda	Echinostomida	Echinostomatidae	Echinostoma	Echinostoma caproni
contig-100_4575	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_4579	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Azospira oryzae
contig-100_4587	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas resinovorans
contig-100_45872	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio africanus
contig-100_45877	NA	NA	Eukaryota	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis catus
contig-100_459	NA	NA	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas aurantiaca
contig-100_45903	NA	NA	Eukaryota	Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Bombyx mori
contig-100_4595	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	Allochromatium vinosum
contig-100_45967	NA	NA	Eukaryota	Platyhelminthes	Monogenea	Polyopisthocotylea	Polystomatidae	Protopolystoma	Protopolystoma xenopodis
contig-100_46	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	Sulfuritalea hydrogenivorans
contig-100_46008	NA	NA	Eukaryota	Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia chinensis
contig-100_4601	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	Allochromatium vinosum
contig-100_46050	NA	NA	Eukaryota	Chordata	Mammalia	Carnivora	Odobenidae	Odobenus	Odobenus rosmarus
contig-100_4606	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	Allochromatium vinosum
contig-100_46061	NA	NA	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Danio	Danio rerio
contig-100_4609	NA	NA	Eukaryota	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia reticulata
contig-100_46110	NA	NA	Eukaryota	Chordata	Mammalia	Rodentia	Caviidae	Cavia	Cavia porcellus
contig-100_46145	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_4616	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	Allochromatium vinosum
contig-100_4617	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	Desulfomicrobium baculatum
contig-100_46185	NA	NA	Eukaryota	Priapulida	(unassigned)	(unassigned)	Priapulidae	Priapulus	Priapulus caudatus
contig-100_46190	NA	NA	Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
contig-100_4629	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter similis
contig-100_46375	NA	NA	Eukaryota	Chordata	(unassigned)	Testudines	Emydidae	Chrysemys	Chrysemys picta
contig-100_464	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sulfidiphilus
contig-100_46402	NA	NA	Eukaryota	Mollusca	Bivalvia	Ostreoida	Ostreidae	Crassostrea	Crassostrea gigas
contig-100_46456	NA	NA	Eukaryota	Echinodermata	Echinoidea	Temnopleuroida	Toxopneustidae	Lytechinus	Lytechinus variegatus
contig-100_46508	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter	Pelobacter carbinolicus
contig-100_46532	NA	NA	Eukaryota	Chordata	Aves	Columbiformes	Columbidae	Columba	Columba livia
contig-100_4663	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia mannitolilytica
contig-100_46649	NA	NA	Eukaryota	Platyhelminthes	Trematoda	Echinostomida	Echinostomatidae	Echinostoma	Echinostoma caproni
contig-100_4668	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter adhaerens
contig-100_46715	NA	NA	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Danio	Danio rerio
contig-100_46741	NA	NA	Eukaryota	Chordata	(unassigned)	(unassigned)	Branchiostomidae	Branchiostoma	Branchiostoma floridae
contig-100_4678	NA	NA	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Trueperaceae	Truepera	Truepera radiovictrix
contig-100_468	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_46823	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella holmesii
contig-100_46870	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	(unassigned)	(unassigned)	(unassigned)	delta proteobacterium PP31
contig-100_4694	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium purpuratum
contig-100_46952	NA	NA	Bacteria	Cyanobacteria	(unassigned)	Chroococcales	(unassigned)	Cyanothece	Cyanothece sp. ATCC 51142
contig-100_47	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix nivea
contig-100_470	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri
contig-100_47090	NA	NA	Eukaryota	Platyhelminthes	Trematoda	Echinostomida	Echinostomatidae	Echinostoma	Echinostoma caproni
contig-100_47140	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator
contig-100_4715	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium	Haliangium ochraceum
contig-100_472	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas pseudoalcaligenes
contig-100_47217	NA	NA	Eukaryota	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias latipes
contig-100_4725	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium	uncultured Desulfobacterium sp.
contig-100_47287	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio magneticus
contig-100_47300	NA	NA	Eukaryota	Chordata	Mammalia	Rodentia	Cricetidae	Microtus	Microtus ochrogaster
contig-100_47314	NA	NA	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera cucurbitae
contig-100_4733	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium	uncultured Desulfobacterium sp.
contig-100_4734	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_4738	NA	NA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. BTAi1
contig-100_474	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans
